,ESPECIE,SEXO,HABITAT,PESO_g,TAMANHO_cm,BICO_mm,ASA_cm
0,ANAMBE,MACHO,MOSQUEIRO,78.675,19.74,17.094,14.655
1,ANAMBE,MACHO,MOSQUEIRO,88.133,21.097,14.655,11.937
2,ANAMBE,FEMEA,MARAJO,74.468,20.25,13.337,11.614
3,ANAMBE,MACHO,MARAJO,88.05,21.343,17.772,13.069
4,ARARA AZUL,MACHO,MARAJO,1039.172,104.408,93.352,37.41
5,ARARA AZUL,FEMEA,MARAJO,1125.393,93.714,90.977,31.422
6,ANAMBE,MACHO,MOSQUEIRO,79.893,23.119,14.866,14.794
7,ARARA AZUL,MACHO,MARAJO,1559.641,102.173,101.913,40.152
8,PICA-PAU,FEMEA,MOSQUEIRO,53.417,20.117,22.776,9.528
9,ARARA AZUL,MACHO,MARAJO,1139.329,97.52,94.551,39.944
10,ANAMBE,MACHO,MOSQUEIRO,72.904,22.134,16.407,12.425
11,ANAMBE,FEMEA,MOSQUEIRO,73.392,14.501,11.731,12.965
12,ARARA AZUL,MACHO,MARAJO,,103.124,94.102,40.098
13,ARARA AZUL,MACHO,MARAJO,1366.614,102.255,100.21,39.851
14,PICA-PAU,FEMEA,MOSQUEIRO,59.154,20.888,22.523,11.402
15,ARARA AZUL,FEMEA,MARAJO,1163.288,86.455,90.759,32.512
16,ANAMBE,MACHO,MARAJO,85.242,18.693,16.988,10.751
17,ARARA AZUL,MACHO,MARAJO,1315.558,90.745,96.596,38.836
18,ANAMBE,MACHO,MOSQUEIRO,77.734,20.794,15.534,13.096
19,ARARA AZUL,MACHO,MARAJO,1275.819,93.856,102.604,35.658
20,ANAMBE,MACHO,MOSQUEIRO,76.885,17.75,15.129,15.108
21,ANAMBE,MACHO,MARAJO,93.6,20.556,16.994,13.425
22,ANAMBE,MACHO,MARAJO,90.804,23.557,16.89,14.815
23,ANAMBE,MACHO,MOSQUEIRO,78.599,21.763,15.166,12.404
24,ANAMBE,FEMEA,MOSQUEIRO,60.79,13.799,12.464,14.554
25,ANAMBE,MACHO,MARAJO,86.581,,14.501,14.642
26,ANAMBE,FEMEA,MOSQUEIRO,71.133,18.827,13.579,15.747
27,ANAMBE,MACHO,MARAJO,86.77,22.718,16.724,14.683
28,ARARA AZUL,MACHO,MARAJO,1387.295,101.243,97.129,35.192
29,ARARA AZUL,FEMEA,MARAJO,1033.871,93.405,94.579,31.597
30,ANAMBE,FEMEA,MOSQUEIRO,62.619,13.983,13.027,15.012
31,PICA-PAU,MACHO,MOSQUEIRO,65.196,21.398,28.625,11.371
32,PICA-PAU,FEMEA,MOSQUEIRO,65.225,20.866,20.337,11.854
33,PICA-PAU,FEMEA,MOSQUEIRO,59.406,20.907,24.052,10.716
34,ANANBE,FEMEA,MOSQUEIRO,69.972,16.607,12.924,13.819
35,PICA-PAU,MACHO,MOSQUEIRO,64.78,21.566,24.276,14.221
36,ANAMBE,FEMEA,MOSQUEIRO,64.113,18.9,12.926,14.17
37,ANAMBE,FEMEA,MOSQUEIRO,69.073,20.999,13.766,14.535
38,PICA-PAU,MACHO,MOSQUEIRO,63.824,23.465,25.055,13.102
39,ARARA AZUL,MACHO,MARAJO,1457.619,100.078,94.204,35.466
40,ANAMBE,MACHO,MARAJO,88.2,22.969,16.292,15.002
41,ARARA AZUL,MACHO,MARAJO,1308.616,94.829,100.299,40.467
42,ANAMBE,FEMEA,MOSQUEIRO,68.158,17.391,13.31,13.474
43,ANAMBE,MACHO,MOSQUEIRO,85.749,16.555,15.067,13.121
44,ARARA AZUL,MACHO,MARAJO,1342.596,111.087,103.837,37.264
45,ANAMBE,MACHO,MARAJO,78.344,21.371,16.911,14.117
46,ANAMBE,FEMEA,MOSQUEIRO,75.271,18.993,13.263,12.901
47,ARARA AZUL,MACHO,MARAJO,1197.922,100.419,98.995,36.151
48,ANAMBE,FEMEA,MARAJO,75.583,18.221,15.172,14.773
49,ANAMBE,FEMEA,MOSQUEIRO,62.771,18.905,13.804,13.746
50,ANAMBE,FEMEA,MOSQUEIRO,65.801,17.401,13.286,14.726
51,ANAMBE,FEMEA,MOSQUEIRO,67.02,16.376,13.444,14.489
52,ARARA AZUL,FEMEA,MARAJO,953.565,88.445,88.948,29.601
53,ANAMBE,MACHO,MARAJO,82.731,25.596,16.692,14.087
54,ANAMBE,FEMEA,MOSQUEIRO,71.508,16.894,13.583,12.686
55,ARARA AZUL,FEMEA,MARAJO,1200.54,100.601,97.84,31.3
56,ANAMBE,FEMEA,MOSQUEIRO,77.476,15.203,13.403,15.483
57,ARARA AZUL,FEMEA,MARAJO,1062.797,92.61,85.842,28.277
